Rhythm_Restore_Refined_Updated
Timestamp,what time do you usually sleep,what time do you usually wake up,How often do you wake up in the middle of the night?,"How would you rate your stress levels during the day?Scale: 1 = No Stress, 5 = Extremely Stressed)",Do you feel mentally exhausted before bedtime? ,How often do you skip meals?,How much screen time do you get before bed?,Do you engage in any relaxation activities before bed?,How often do you exercise?,Do you consume caffeine(in the evening),How often are you stuck in traffic?,"Do you experience negative social interactions (arguments, conflicts, etc.) often?",Do you work/study late at night?,"What do you think helps you sleep better? (Meditation, Reducing Screen Time, Physical Activity, Warm Bath, Herbal Tea, White Noise, etc.if other mention down)",Diet Suggestions,Workout Suggestions,Sleep Time,Sleep Habit Suggestions,Stress Busters
2025-02-27 22:53:54,12:30:00,07:30:00,occasionally,2,No,Sometimes,1Hr,Sometimes,Never,Coffee,Sometimes,Sometimes,Yes,warm bath,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.",Start with light yoga or a 15-min walk daily.,12:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Try progressive muscle relaxation while lying in bed.
2025-02-27 23:00:41,02:00:00,06:00:00,Always,5,Yes,Always,more than 2Hr,No,Never,No,Sometimes,Yes,Yes,Sleeping with people I love,"Increase meal frequency; eat nuts, bananas, yogurt, and whole-grain snacks. Ensure a protein-rich breakfast.",Start with light yoga or a 15-min walk daily.,02:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-02-27 23:05:40,23:30:00,06:30:00,frequently,2,No,Sometimes,1.5Hr,No,Daily,No,Sometimes,Sometimes,Sometimes,Physical activity,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.",Continue your workout routine; consider relaxation exercises like Tai Chi.,23:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a short bedtime meditation using apps like Headspace or Insight Timer.
2025-02-27 23:19:02,01:00:00,08:00:00,never,4,Yes,never,more than 2Hr,No,Rarely,No,Sometimes,No,Sometimes,Reducing screen time,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",01:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-02-27 23:19:03,04:30:00,12:46:00,never,1,No,Sometimes,1.5Hr,"Yes, always",A few times a week,No,Rarely,Sometimes,No,Switching on fan,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Maintain routine, add strength training or stretching.",04:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a short bedtime meditation using apps like Headspace or Insight Timer.
2025-02-28 18:31:09,11:30:00,08:15:00,never,1,No,Occasionally,1.5Hr,No,Never,"Coffee, Tea",Rarely,No,Sometimes,Physical activity ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Start with light yoga or a 15-min walk daily.,11:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Play calm instrumental music or white noise to relax your mind.
2025-02-28 18:32:47,12:00:00,07:00:00,occasionally,3,Yes,Sometimes,more than 2Hr,Sometimes,Rarely,No,Sometimes,Yes,Yes,Warm bath ,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",12:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
2025-02-28 18:34:26,02:00:00,09:00:00,occasionally,2,No,Sometimes,1Hr,No,Rarely,No,Sometimes,Sometimes,Yes,Physical Activity,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",02:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Journal 3 good things from your day — reflect and wind down.
2025-02-28 18:34:26,22:00:00,06:00:00,occasionally,3,No,Sometimes,more than 2Hr,Sometimes,Rarely,No,Frequently,Yes,Yes,Reducing screen time ,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",22:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
2025-02-28 18:38:06,11:30:00,07:00:00,occasionally,2,Yes,Often,1Hr,"Yes, always",Rarely,No,Frequently,Sometimes,Yes,Meditation and deep breathing,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",11:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a short bedtime meditation using apps like Headspace or Insight Timer.
